"
[[ * * * * Record No.24 * * * * ]]",gi|966701323|gb|KTG33564.1| hypothetical protein cypCar_00009228 [Cyprinus carpio]
"
[[ * * * * Record No.25 * * * * ]]",gi|966652397|gb|KTF87299.1| hypothetical protein cypCar_00020751 [Cyprinus carpio]
"
[[ * * * * Record No.26 * * * * ]]",gi|966705235|gb|KTG37476.1| hypothetical protein cypCar_00008330 [Cyprinus carpio]
"
[[ * * * * Record No.27 * * * * ]]",gi|966702196|gb|KTG34437.1| hypothetical protein cypCar_00028509 [Cyprinus carpio]
"
[[ * * * * Record No.28 * * * * ]]",gi|528521488|ref|XP_001924042.4| PREDICTED: matrix metalloproteinase-15 [Danio rerio]
"
[[ * * * * Record No.29 * * * * ]]",gi|688565961|ref|XP_009301842.1| PREDICTED: matrix metalloproteinase-15 isoform X2 [Danio rerio]
"
[[ * * * * Record No.30 * * * * ]]",gi|1040695662|ref|XP_017212610.1| PREDICTED: matrix metalloproteinase-15 isoform X1 [Danio rerio]
"
[[ * * * * Record No.31 * * * * ]]",gi|528470125|ref|XP_700781.6| PREDICTED: matrix metalloproteinase-16 isoform X2 [Danio rerio]
"
[[ * * * * Record No.32 * * * * ]]",gi|966712584|gb|KTG44822.1| hypothetical protein cypCar_00007110 [Cyprinus carpio]
"
[[ * * * * Record No.33 * * * * ]]",gi|35903106|ref|NP_919395.1| matrix metalloproteinase-14 precursor [Danio rerio] >gi|32251078|gb|AAP74484.1| membrane-type matrix metalloproteinase 1 beta [Danio rerio]
"
[[ * * * * Record No.34 * * * * ]]",gi|966659050|gb|KTF93904.1| hypothetical protein cypCar_00001875 [Cyprinus carpio]
"
[[ * * * * Record No.35 * * * * ]]",gi|190339264|gb|AAI62135.1| Matrix metalloproteinase 14 (membrane-inserted) beta [Danio rerio]
"
[[ * * * * Record No.36 * * * * ]]",gi|528471499|ref|XP_005171367.1| PREDICTED: matrix metalloproteinase-14 isoform X1 [Danio rerio]
"
[[ * * * * Record No.37 * * * * ]]",gi|966703897|gb|KTG36138.1| hypothetical protein cypCar_00036806 [Cyprinus carpio]
"
[[ * * * * Record No.38 * * * * ]]",gi|688535681|ref|XP_009295076.1| PREDICTED: matrix metalloproteinase-16 isoform X1 [Danio rerio]
"
[[ * * * * Record No.39 * * * * ]]","gi|966673284|gb|KTG06665.1| hypothetical protein cypCar_00024351, partial [Cyprinus carpio]"
"
[[ * * * * Record No.40 * * * * ]]",gi|966674153|gb|KTG07533.1| hypothetical protein cypCar_00003053 [Cyprinus carpio]
"
[[ * * * * Record No.41 * * * * ]]",gi|35903119|ref|NP_919397.1| matrix metalloproteinase-14 precursor [Danio rerio] >gi|32251076|gb|AAP74483.1| membrane-type matrix metalloproteinase 1 alpha [Danio rerio] >gi|124297207|gb|AAI31865.1| Matrix metalloproteinase 14 (membrane-inserted) alpha [Danio rerio]
"
[[ * * * * Record No.42 * * * * ]]",gi|966641791|gb|KTF76705.1| hypothetical protein cypCar_00010420 [Cyprinus carpio]
"
[[ * * * * Record No.43 * * * * ]]",gi|966672768|gb|KTG06149.1| hypothetical protein cypCar_00013235 [Cyprinus carpio]
"
[[ * * * * Record No.44 * * * * ]]",gi|966641083|gb|KTF75997.1| hypothetical protein cypCar_00044646 [Cyprinus carpio]
"
[[ * * * * Record No.45 * * * * ]]",gi|528513405|ref|XP_698601.6| PREDICTED: matrix metalloproteinase-17 [Danio rerio]
"
[[ * * * * Record No.46 * * * * ]]",gi|528488085|ref|XP_692205.6| PREDICTED: stromelysin-3 [Danio rerio]
"
[[ * * * * Record No.47 * * * * ]]",gi|966666661|gb|KTG00366.1| hypothetical protein cypCar_00013972 [Cyprinus carpio]
"
[[ * * * * Record No.48 * * * * ]]",gi|966701943|gb|KTG34184.1| hypothetical protein cypCar_00019938 [Cyprinus carpio]
"
[[ * * * * Record No.49 * * * * ]]",gi|688576060|ref|XP_009304055.1| PREDICTED: matrix metalloproteinase-19 [Danio rerio]
"
[[ * * * * Record No.50 * * * * ]]",gi|966713383|gb|KTG45621.1| hypothetical protein cypCar_00022166 [Cyprinus carpio]
"
[[ * * * * Record No.51 * * * * ]]",gi|292621203|ref|XP_001337581.3| PREDICTED: matrix metalloproteinase-28 isoform X1 [Danio rerio]
"
[[ * * * * Record No.52 * * * * ]]",gi|528513609|ref|XP_694153.4| PREDICTED: stromelysin-3 [Danio rerio]
"
[[ * * * * Record No.53 * * * * ]]",gi|966638266|gb|KTF73370.1| hypothetical protein cypCar_00034195 [Cyprinus carpio]
"
[[ * * * * Record No.54 * * * * ]]","gi|966635896|gb|KTF71004.1| hypothetical protein cypCar_00049037, partial [Cyprinus carpio]"
"
[[ * * * * Record No.55 * * * * ]]",gi|1040657491|ref|XP_017213634.1| PREDICTED: matrix metalloproteinase-18-like [Danio rerio]
"
[[ * * * * Record No.56 * * * * ]]","gi|966641082|gb|KTF75996.1| hypothetical protein cypCar_00044645, partial [Cyprinus carpio]"
"
[[ * * * * Record No.57 * * * * ]]",gi|292619299|ref|XP_002663942.1| PREDICTED: matrix metalloproteinase-25-like [Danio rerio]
"
[[ * * * * Record No.58 * * * * ]]",gi|966701759|gb|KTG34000.1| hypothetical protein cypCar_00003419 [Cyprinus carpio]
"
[[ * * * * Record No.59 * * * * ]]",gi|688586768|ref|XP_009289686.1| PREDICTED: matrix metalloproteinase-28 isoform X2 [Danio rerio]
"
[[ * * * * Record No.60 * * * * ]]",gi|37620187|ref|NP_932333.1| 72 kDa type IV collagenase precursor [Danio rerio] >gi|32251074|gb|AAP74482.1| matrix metalloproteinase 2 [Danio rerio]
"
[[ * * * * Record No.61 * * * * ]]",gi|37620187|ref|NP_932333.1| 72 kDa type IV collagenase precursor [Danio rerio] >gi|32251074|gb|AAP74482.1| matrix metalloproteinase 2 [Danio rerio]
"
[[ * * * * Record No.62 * * * * ]]",gi|49900524|gb|AAH76545.1| Matrix metalloproteinase 2 [Danio rerio]
"
[[ * * * * Record No.63 * * * * ]]",gi|49900524|gb|AAH76545.1| Matrix metalloproteinase 2 [Danio rerio]
"
[[ * * * * Record No.64 * * * * ]]",gi|966700118|gb|KTG32359.1| hypothetical protein cypCar_00003920 [Cyprinus carpio]
"
[[ * * * * Record No.65 * * * * ]]",gi|966643297|gb|KTF78209.1| hypothetical protein cypCar_00028289 [Cyprinus carpio]
"
[[ * * * * Record No.66 * * * * ]]",gi|966643297|gb|KTF78209.1| hypothetical protein cypCar_00028289 [Cyprinus carpio]
"
[[ * * * * Record No.67 * * * * ]]",gi|1040680647|ref|XP_017209345.1| PREDICTED: matrix metalloproteinase-16-like [Danio rerio]
"
[[ * * * * Record No.68 * * * * ]]",gi|966650507|gb|KTF85409.1| hypothetical protein cypCar_00027262 [Cyprinus carpio]
"
[[ * * * * Record No.69 * * * * ]]",gi|966670356|gb|KTG03737.1| hypothetical protein cypCar_00007041 [Cyprinus carpio]
"
[[ * * * * Record No.70 * * * * ]]",gi|966670356|gb|KTG03737.1| hypothetical protein cypCar_00007041 [Cyprinus carpio]
"
[[ * * * * Record No.71 * * * * ]]",gi|966714087|gb|KTG46325.1| hypothetical protein cypCar_00001333 [Cyprinus carpio]
"
[[ * * * * Record No.72 * * * * ]]",gi|966714003|gb|KTG46241.1| hypothetical protein cypCar_00040413 [Cyprinus carpio]
"
[[ * * * * Record No.73 * * * * ]]",gi|1040683781|ref|XP_017210163.1| PREDICTED: matrix metalloproteinase-25 [Danio rerio]
"
[[ * * * * Record No.74 * * * * ]]","gi|966705554|gb|KTG37795.1| hypothetical protein cypCar_00034062, partial [Cyprinus carpio]"
"
[[ * * * * Record No.75 * * * * ]]",gi|333830582|gb|AEG20934.1| mmp9 [Danio rerio]
"
[[ * * * * Record No.76 * * * * ]]","gi|966661670|gb|KTF96256.1| hypothetical protein cypCar_00012038, partial [Cyprinus carpio]"
"
[[ * * * * Record No.77 * * * * ]]",gi|966708783|gb|KTG41021.1| hypothetical protein cypCar_00013171 [Cyprinus carpio]
"
[[ * * * * Record No.78 * * * * ]]",gi|966708783|gb|KTG41021.1| hypothetical protein cypCar_00013171 [Cyprinus carpio]
"
[[ * * * * Record No.79 * * * * ]]",gi|47085869|ref|NP_998288.1| matrix metalloproteinase-9 precursor [Danio rerio] >gi|31419581|gb|AAH53292.1| Matrix metalloproteinase 9 [Danio rerio] >gi|37722565|gb|AAN72418.1| matrix metalloproteinase 9 [Danio rerio] >gi|169642693|gb|AAI60656.1| Matrix metalloproteinase 9 [Danio rerio]
"
[[ * * * * Record No.80 * * * * ]]",gi|47085869|ref|NP_998288.1| matrix metalloproteinase-9 precursor [Danio rerio] >gi|31419581|gb|AAH53292.1| Matrix metalloproteinase 9 [Danio rerio] >gi|37722565|gb|AAN72418.1| matrix metalloproteinase 9 [Danio rerio] >gi|169642693|gb|AAI60656.1| Matrix metalloproteinase 9 [Danio rerio]
"
[[ * * * * Record No.81 * * * * ]]","gi|966644305|gb|KTF79217.1| hypothetical protein cypCar_00031344, partial [Cyprinus carpio]"
"
[[ * * * * Record No.82 * * * * ]]",gi|966662546|gb|KTF96912.1| hypothetical protein cypCar_00008625 [Cyprinus carpio]
"
[[ * * * * Record No.83 * * * * ]]",gi|966658531|gb|KTF93385.1| hypothetical protein cypCar_00044888 [Cyprinus carpio]
"
[[ * * * * Record No.84 * * * * ]]",gi|29436812|gb|AAH49472.1| Matrix metalloproteinase 13 [Danio rerio]
"
[[ * * * * Record No.85 * * * * ]]",gi|528500738|ref|XP_002664536.2| PREDICTED: matrix metalloproteinase-17 [Danio rerio]
"
[[ * * * * Record No.86 * * * * ]]",gi|966714158|gb|KTG46396.1| hypothetical protein cypCar_00003989 [Cyprinus carpio]
"
[[ * * * * Record No.87 * * * * ]]",gi|966714158|gb|KTG46396.1| hypothetical protein cypCar_00003989 [Cyprinus carpio]
"
[[ * * * * Record No.88 * * * * ]]",gi|966647924|gb|KTF82834.1| hypothetical protein cypCar_00034594 [Cyprinus carpio]
"
[[ * * * * Record No.89 * * * * ]]","gi|62955747|ref|NP_001017890.1| matrix metalloproteinase-23 precursor [Danio rerio] >gi|62203239|gb|AAH92954.1| Matrix metallopeptidase 23a, like [Danio rerio] >gi|182890478|gb|AAI64476.1| Mmp23al protein [Danio rerio]"
"
[[ * * * * Record No.90 * * * * ]]",gi|966709818|gb|KTG42056.1| hypothetical protein cypCar_00018404 [Cyprinus carpio]
"
[[ * * * * Record No.91 * * * * ]]","gi|966659979|gb|KTF94833.1| hypothetical protein cypCar_00042342, partial [Cyprinus carpio]"
"
[[ * * * * Record No.92 * * * * ]]",gi|688569615|ref|XP_009302613.1| PREDICTED: matrix metalloproteinase-23 isoform X2 [Danio rerio]
"
[[ * * * * Record No.93 * * * * ]]",gi|688569606|ref|XP_009302611.1| PREDICTED: matrix metalloproteinase-23 isoform X1 [Danio rerio]
"
[[ * * * * Record No.94 * * * * ]]",gi|960139227|ref|NP_001304682.1| matrix metalloproteinase-21 [Danio rerio] >gi|929996753|gb|ALF36875.1| matrix metallopeptidase 21 [Danio rerio]
"
[[ * * * * Record No.95 * * * * ]]",gi|966644565|gb|KTF79477.1| hypothetical protein cypCar_00047977 [Cyprinus carpio]
"
[[ * * * * Record No.96 * * * * ]]","gi|966636916|gb|KTF72020.1| hypothetical protein cypCar_00043977, partial [Cyprinus carpio]"
"
[[ * * * * Record No.97 * * * * ]]",gi|1040657245|ref|XP_017213574.1| PREDICTED: stromelysin-1-like [Danio rerio]
"
[[ * * * * Record No.98 * * * * ]]",gi|966707548|gb|KTG39789.1| hypothetical protein cypCar_00031252 [Cyprinus carpio]
"
[[ * * * * Record No.99 * * * * ]]",gi|966710589|gb|KTG42827.1| hypothetical protein cypCar_00043323 [Cyprinus carpio]
"
[[ * * * * Record No.100 * * * * ]]",gi|966701819|gb|KTG34060.1| hypothetical protein cypCar_00045125 [Cyprinus carpio]
"
[[ * * * * Record No.101 * * * * ]]",gi|688586770|ref|XP_009289687.1| PREDICTED: matrix metalloproteinase-28 isoform X3 [Danio rerio]
"
[[ * * * * Record No.102 * * * * ]]",gi|966650142|gb|KTF85052.1| hypothetical protein cypCar_00025524 [Cyprinus carpio]
"
[[ * * * * Record No.103 * * * * ]]",gi|966714088|gb|KTG46326.1| hypothetical protein cypCar_00001332 [Cyprinus carpio]
"
[[ * * * * Record No.104 * * * * ]]",gi|966714088|gb|KTG46326.1| hypothetical protein cypCar_00001332 [Cyprinus carpio]
"
[[ * * * * Record No.105 * * * * ]]",gi|966653701|gb|KTF88555.1| hypothetical protein cypCar_00034793 [Cyprinus carpio]
"
[[ * * * * Record No.106 * * * * ]]",gi|966668305|gb|KTG01686.1| hypothetical protein cypCar_00032817 [Cyprinus carpio]
"
[[ * * * * Record No.107 * * * * ]]",gi|33416383|gb|AAH55570.1| Vtnb protein [Danio rerio]
"
[[ * * * * Record No.108 * * * * ]]",gi|33416383|gb|AAH55570.1| Vtnb protein [Danio rerio]
"
[[ * * * * Record No.109 * * * * ]]",gi|213021169|ref|NP_001132933.1| vitronectin b precursor [Danio rerio]
"
[[ * * * * Record No.110 * * * * ]]",gi|213021169|ref|NP_001132933.1| vitronectin b precursor [Danio rerio]
"
[[ * * * * Record No.111 * * * * ]]",gi|152012650|gb|AAI50466.1| Vtnb protein [Danio rerio]
"
[[ * * * * Record No.112 * * * * ]]",gi|152012650|gb|AAI50466.1| Vtnb protein [Danio rerio]
"
[[ * * * * Record No.113 * * * * ]]",gi|66472408|ref|NP_001018508.1| vitronectin precursor [Danio rerio] >gi|63101398|gb|AAH95724.1| Vitronectin a [Danio rerio]
"
[[ * * * * Record No.114 * * * * ]]",gi|1036114099|ref|NP_001315259.1| proteoglycan 4 precursor [Danio rerio]
